,0
882,2
883,2
884,4
885,3
886,4
887,2
888,1
889,3
890,4
891,3
892,3
893,2
894,2
895,4
896,3
897,3
898,4
899,5
900,5
901,3
902,4
903,2
904,4
905,2
906,2
907,2
908,3
909,3
910,4
911,2
912,4
913,3
914,2
915,3
916,4
917,2
918,3
919,4
920,4
921,3
922,2
923,2
924,4
925,2
926,4
927,2
928,2
929,3
930,5
931,2
932,4
933,3
934,2
935,1
936,5
937,3
938,2
939,4
940,4
941,3
942,2
943,2
944,4
945,4
946,4
947,4
948,4
949,3
950,4
951,2
952,4
953,3
954,3
955,3
956,3
957,4
958,3
959,2
960,3
961,2
962,3
963,3
964,2
965,2
966,4
967,3
968,4
969,3
970,3
971,2
972,4
973,4
974,3
975,3
976,4
977,2
978,3
979,4
980,4
981,3
982,2
983,4
984,2
985,3
986,2
987,2
988,2
989,3
990,2
991,4
992,4
993,2
994,2
995,4
996,2
997,5
998,3
999,3
1000,4
