,0
698,3
699,3
700,2
701,3
702,3
703,2
704,4
705,4
706,3
707,4
708,2
709,3
710,3
711,4
712,3
713,2
714,3
715,4
716,4
717,3
718,4
719,3
720,5
721,4
722,3
723,4
724,4
725,4
726,2
727,3
728,5
729,4
730,5
731,4
732,5
733,1
734,3
735,3
736,4
737,4
738,3
739,4
740,4
741,4
742,2
743,4
744,5
745,2
746,2
747,3
748,4
749,2
750,3
751,2
752,4
753,4
754,3
755,3
756,2
757,4
758,4
759,2
760,3
761,3
762,2
763,2
764,4
765,3
766,5
767,4
768,2
769,3
770,4
771,3
772,3
773,4
774,4
775,4
776,4
777,2
778,3
779,3
780,3
781,2
782,4
783,3
784,4
785,2
786,3
787,3
788,4
789,4
790,3
791,3
792,4
793,3
794,4
795,3
796,3
797,3
798,3
799,4
800,2
801,2
802,4
803,5
804,3
805,2
806,3
807,2
808,2
809,2
810,2
811,2
812,4
813,3
814,4
815,4
816,2
817,2
818,3
819,4
820,4
821,5
822,3
823,2
824,3
825,4
826,3
827,3
828,3
829,3
830,5
831,3
832,2
833,3
834,3
835,4
836,4
837,3
838,4
839,2
840,3
841,4
842,3
843,3
844,2
845,2
846,3
847,3
848,3
849,4
850,2
851,2
852,5
853,3
854,4
855,4
856,4
857,4
858,3
859,3
860,4
861,2
862,4
863,3
864,5
865,4
866,4
867,3
868,5
869,3
870,3
871,4
872,2
873,3
874,3
875,2
876,4
877,2
878,3
879,2
880,4
881,3
882,3
883,3
884,2
885,3
886,4
887,4
888,4
889,3
890,2
891,2
892,4
893,3
894,2
895,4
896,4
897,5
898,4
899,2
900,4
901,5
902,4
903,2
904,2
905,4
906,4
907,2
908,2
909,4
910,3
911,4
912,3
913,4
914,4
915,4
916,3
917,4
918,3
919,2
920,4
921,2
922,4
923,4
924,4
925,3
926,4
927,3
928,3
929,3
930,3
931,3
932,4
933,2
934,4
935,4
936,5
937,4
938,4
939,3
940,3
941,3
942,3
943,3
944,4
945,3
946,3
947,3
948,2
949,2
950,3
951,4
952,3
953,3
954,3
955,3
956,3
957,3
958,3
959,3
960,3
961,2
962,3
963,3
964,3
965,3
966,3
967,4
968,4
969,4
970,3
971,2
972,3
973,4
974,3
975,3
976,3
977,3
978,3
979,3
980,2
981,4
982,3
983,2
984,2
985,3
986,2
987,3
988,3
989,2
990,4
991,2
992,2
993,3
994,3
995,2
996,4
997,3
998,3
999,3
1000,4
