,0
973,2
974,2
975,3
976,3
977,3
978,5
979,3
980,3
981,4
982,3
983,4
984,3
985,3
986,3
987,3
988,3
989,5
990,4
991,2
992,4
993,2
994,4
995,1
996,4
997,4
998,1
999,5
1000,3
